问题描述,是否解决,（表内关联）关联其他问题,原因及解决方法,解决时间,是否需要定制修改,任务编号,创建人,同步属性,创建时间,平台报警提示,设备相关配置文件,位置：服务器ip+车间名称,编辑时间,日记,数据库相关表,所在服务器,同步（关联用）同步设备编号 1,相关项目,备注,项目类型,服务器相关模块,对现场影响,同步关联问题 1,子任务编号,任务ID,同步（关联用）同步设备编号,同步关联问题 1,货架号,记录详细过程（案例）,归属,同步关联问题,问题时间,设备配置文件,设备序列号,设备IP,位置,设备编号,附件
2.1充电桩不充电,已解决,,,2025/1/2,,,汪羽杰,,2025/1/2 8:45,,,2.1_4_A4物流_2F,2025/1/7 14:18,,,10.68.2.1,,,,问题记录,,,,,,,,,,平台,,2025/1/2,,,,A4物流2F,,
点位46000685任务不下发,已解决,,1. 波次号下发任务，该波次单的货架有其他波次单任务未完成，因此未下发。2.车数量不足，没有车接任务,2025/1/3,,,汪羽杰,,2025/1/3 11:06,,,2.1_4_A4物流_2F,2025/2/20 18:28,,,10.68.2.1,,,,问题记录,,调试级（轻微或无）,,,,,,,,平台,,2025/1/3,,,,A4物流2F,,
小分拣任务被取消,已解决,,,2025/1/4,,,汪羽杰,,2025/1/4 13:39,,,,2025/2/20 18:05,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/1/4,,,,,,
小分拣车上有料因电量低被取消去充电,已解决,,设备低于最低电量时被暂停，暂停恢复后因电量过低，任务被定制模块取消。,2025/1/6,,,汪羽杰,,2025/1/6 10:04,,,,2025/1/6 10:15,,,10.68.,,,,问题记录,https://flowus.cn/78f0b559-c8de-41bc-a90e-a51a17b2f531,,,,,,,,YES,平台,,2025/1/6,,,,,,
小分拣任务在32下发任务失败,已解决,,模块重启导致,2025/1/6,,,汪羽杰,,2025/1/6 10:26,,,2.32_1_A3结构备料部@举升,2025/1/6 11:02,,,10.68.2.32,,,,问题记录,https://flowus.cn/78f0b559-c8de-41bc-a90e-a51a17b2f531,调试级（轻微或无）,,,,,,,YES,"运维,平台",,2025/1/6,,,,A3结构备料部@举升,,
锁格没释放,定制修改中,,,2025/1/6,YES,,汪羽杰,,2025/1/6 10:29,,,2.31_28_29_31_A2存储备料区域,2025/1/7 11:01,,,10.68.2.31,,,,问题记录,https://flowus.cn/903a7053-4edd-4c06-8b7f-ea617a9a7494,,,,,,,,YES,"平台,跨环境",,2025/1/6,,,,829_31_A2存储备料区域,,
31 32服务器重启,已解决,,现场使用了一键重启功能,2025/1/6,,,汪羽杰,,2025/1/6 11:06,,,2.32_1_A3结构备料部@举升,2025/2/20 13:42,,,10.68.2.32,,,,问题记录,"https://flowus.cn/78ba2012-8e37-4e08-95d7-446924a5cafd,https://flowus.cn/f238bb4b-ca8b-4186-9923-f2d34bf5af3f",调试级（轻微或无）,,,,,,,YES,现场,,2025/1/6,,,,A3结构备料部@举升,,
设备卡在目标点不完成任务,已过期,,,2025/1/7,,,汪羽杰,,2025/1/7 16:24,,,,2025/6/19 19:05,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/1/7,,,,,,
无法跨电梯,已解决,,路径不可达,2025/1/7,,,汪羽杰,,2025/1/7 16:56,无法跨区域,,2.19_1_2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,2025/1/7 16:59,,,10.68.2.19,,,,问题记录,,单个设备级（轻微影响）,,,,,,,YES,地图,,2025/1/7,,,,2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,,
充电桩离线问题,已解决,,充电桩旁边的 AP 没有开通 2g wifi 信号，导致充电桩不停离线，联系 IT 打开 2g 网络,2025/1/8,,,汪羽杰,,2025/1/8 10:43,,,2.19_1_2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,2025/2/20 13:36,,,10.68.2.19,,,,问题记录,,,,,,,,,YES,设备网络问题,,2025/1/7,,,,2_3_4_A2_A3_华消_注塑工厂_二楼_华昱欣,,
设备指定地图失败,已过期,,,2025/1/10,,,汪羽杰,,2025/1/10 9:06,,,2.31_24_25_26_27_电装跨电梯,2025/6/19 19:05,,,10.68.2.31,,,,问题记录,,单个设备级（轻微影响）,,,,,,,,平台,,2025/1/10,,,,425_26_27_电装跨电梯,,
锁格未释放同服务器,已解决,,,2025/1/10,,,汪羽杰,,2025/1/10 9:19,,,2.31_24_25_26_27_电装跨电梯,2025/1/10 9:35,,,10.68.2.31,,,,问题记录,,,,,,,,,,平台,,2025/1/10,,,,425_26_27_电装跨电梯,,
库位传感器有货架没有创建任务,已解决,,,2025/1/10,,,汪羽杰,,2025/1/10 16:00,,,2.31_24_25_26_27_电装跨电梯,2025/6/19 19:05,,,10.68.2.31,,,,问题记录,,,,,,,,,,,,2025/1/10,,,,425_26_27_电装跨电梯,,
呼叫器界面,已解决,,,2025/1/13,,,汪羽杰,,2025/1/13 13:41,,,2.14_7_智能四部,2025/2/20 17:36,,,10.68.2.14,,,,问题记录,,,,,,,,,,前端,,2025/1/13,,,,智能四部,,
设备上报了举升完成，但实际在调整,已解决,,M043 因 IMU 消失停止，不停发旋转和停止旋转的任务。该设备长时间关机会导致该问题 0033 右后轮霍尔异常,2025/1/13,,,汪羽杰,,2025/1/14 8:33,由异常原因导致路径连通性异常，路径规划失败,,,2025/2/20 17:36,,,10.68.,,,,问题记录,,,,,,,,,YES,AGV  设备,,2025/1/13,,03d9234d-085e-4957-919b-8057cdf40218,https://flowus.cn/c8efd6bc-7fb1-4ade-b317-82fb8a16a947,,,
货架旋转任务未旋转,已解决,,44000020在数据库没加上,2025/1/15,,,汪羽杰,,2025/1/15 14:36,,,2.10_1_PCBA 半成品仓库,2025/1/16 15:46,,,10.68.2.10,,,,问题记录,,调试级（轻微或无）,,,,,,,,"平台,配置问题",,2025/1/15,,,,PCBA 半成品仓库,,
死锁问题,已解决,,有前跟车距离,2025/1/15,,,汪羽杰,,2025/1/15 16:42,,,2.10_1_PCBA 半成品仓库,2025/1/15 17:33,,,10.68.2.10,,,,问题记录,,,,,,,,,Yes,算法,,2025/1/15,,,,PCBA 半成品仓库,,
10000316不来任务,已过期,,,2025/1/16,,,汪羽杰,,2025/1/16 15:09,,,,2025/1/16 15:44,,,10.68.,,,,问题记录,,,,,,,,,,,,2025/1/16,,,,,,
